be was been etre
bear bore borne porter
beat beat beaten battre 
become became become devenir
begin began begun commencer
bend bent bent courber
bet bet bet parier
bite bit bitten mordre
bleed bled bled saigner
blow blew blown souffler
break broke broken casser
breed bred bred elever
bring brought brought apporter
build built built construire
burn burnt burnt bruler
burst burst burst eclater
buy bought bought acheter
cast cast cast lancer
catch caught caught attraper
choose chose chosen choisir
come came come venir
cost cost cost couter
cut cut cut couper 
