be was/were been etre
begin began begun commencer
build built built construire
buy bought bought acheter
choose chose chosen choisir
come came come venir
do did done faire
drive drove driven conduire
eat ate eaten manger
fall fell fallen tomber
feed fed fed nourrir
fight fought fought conbattre
find found found trouver
get got got obtenir
give gave given donner
go went gone aller
grow grew grown grandir
have had had avoir
know knew known savoir
learn learnt learnt apprendre
leave left left partir
